Team name,Submission Time,Preference Estimation,Review Generation,Overall Quality
RankMe, 2025-01-03, 0.6823, 0.8087, 0.7455
伸腿瞪眼丸, 2025-01-06, 0.8014, 0.8021, 0.8017
LiLaiLai, 2025-01-07, 0.7053, 0.8094, 0.7573
AwesomeAgent, 2025-01-07, 0.6856, 0.8096, 0.7476
Civilization, 2025-01-08, 0.7007, 0.8162, 0.7584
AwesomeAgent, 2025-01-08, 0.8498, 0.8680, 0.8589
梦幻泡影,2025-01-09,0.7917,0.8741,0.8329
那我问你,2025-01-09,0.8397,0.7222,0.7809
KON,2025-01-09,0.8453,0.8365,0.8409
LiLaiLai,2025-01-10,0.7937,0.8728,0.8332
JustRec,2025-01-10,0.7960,0.8717,0.8338
Agent o1,2025-01-10,0.7960,0.8711,0.8335
ASC,2025-01-10,0.8975,0.8948,0.8962
hahaha,2025-01-10,0.7907,0.8746,0.8327
tsdxgxxb,2025-01-10,0.7953,0.8712,0.8333
LiLaiLai,2025-01-11,0.7877,0.8748,0.8312
AwesomeAgent,2025-01-11,0.8563,0.8678,0.8621
何解？和解！,2025-01-11,0.7923,0.8752,0.8338
伸腿瞪眼丸,2025-01-11,0.3127,0.6056,0.4591
AgentFlow,2025-01-11,0.7383,0.8377,0.7880
MoAgent,2025-01-11,0.7490,0.8444,0.7967
hahaha,2025-01-11,0.7400,0.8315,0.7857
LiLaiLai,2025-01-12,0.7973,0.8726,0.8350
WiseAgents,2025-01-12,0.8228,0.8500,0.8364
ASC,2025-01-12,0.8997,0.8890,0.8943
FollowSen,2025-01-12,0.7950,0.8715,0.8332
天天睡不着,2025-01-12,0.6833,0.8106,0.7470
何解？和解！,2025-01-12,0.3127,0.6056,0.4591
DummyAgent,2025-01-12,0.7200,0.8216,0.7708
hahaha,2025-01-12,0.7143,0.8169,0.7656
KON,2025-01-12,0.7820,0.8023,0.7921
AwesomeAgent,2025-01-12,0.8550,0.8818,0.8684
QvQ,2025-01-13,0.7950,0.8752,0.8351
LiLaiLai,2025-01-13,0.7960,0.8725,0.8343
pp,2025-01-13,0.7960,0.8736,0.8348
UniqueData,2025-01-13,0.5257,0.6955,0.6106
AgentFlow,2025-01-13,0.7950,0.8758,0.8354
Spartan,2025-01-13,0.3127,0.6056,0.4591
Agent o1,2025-01-13,0.7963,0.8773,0.8368
ASC,2025-01-13,0.3127,0.6056,0.4591
FollowSen,2025-01-13,0.3127,0.6056,0.4591
Santiago,2025-01-13,0.8153,0.8759,0.8456
这点预算我很难做队,2025-01-13,0.7977,0.8723,0.8350
那我问你,2025-01-13,0.8180,0.5917,0.7048
何解？和解！,2025-01-13,0.5127,0.6056,0.5591
DummyAgent,2025-01-13,0.8407,0.8699,0.8553
Agent42,2025-01-13,0.8000,0.8779,0.8389
SDU-AI,2025-01-13,0.8448,0.8823,0.8636
AwesomeAgent,2025-01-13,0.8023,0.8827,0.8425
伸腿瞪眼丸,2025-01-13,0.8180,0.7014,0.7597
try1try,2025-01-13,0.7774,0.8723,0.8249
