Team name,Submission Time,Top-1 hr,Top-3 hr,Top-5 hr,Overall hr
Team_25,2024-12-11 20:48:35,0.7211,0.8479,0.7855,0.7848
Team_16,2024-12-20 20:48:35,0.7166,0.8245,0.8133,0.7848
Team_36,2024-12-11 20:48:35,0.5698,0.8402,0.9425,0.7842
Team_4,2024-12-14 20:48:35,0.7300,0.8575,0.7403,0.7759
Team_2,2024-12-19 20:48:35,0.7916,0.8632,0.6372,0.7640
Team_34,2024-12-21 20:48:35,0.7223,0.6994,0.8614,0.7610
Team_33,2024-12-25 20:48:35,0.7806,0.8714,0.6090,0.7537
Team_28,2024-12-1 20:48:35,0.7633,0.7478,0.7015,0.7375
Team_21,2024-12-21 20:48:35,0.5126,0.7553,0.9395,0.7358
Team_38,2024-12-16 20:48:35,0.7826,0.5478,0.8674,0.7326
Team_5,2024-12-10 20:48:35,0.6402,0.8250,0.7182,0.7278
Team_35,2024-12-28 20:48:35,0.6737,0.7474,0.7116,0.7109
Team_15,2024-12-23 20:48:35,0.6050,0.8859,0.6111,0.7006
Team_43,2024-12-27 20:48:35,0.3078,0.8416,0.8863,0.6786
Team_47,2024-12-29 20:48:35,0.3070,0.8534,0.8643,0.6749
Team_50,2024-12-18 20:48:35,0.6951,0.4003,0.9232,0.6729
Team_37,2024-12-24 20:48:35,0.5934,0.7122,0.6795,0.6617
Team_26,2024-12-29 20:48:35,0.5249,0.6377,0.8063,0.6563
Team_17,2024-12-3 20:48:35,0.3867,0.7609,0.8205,0.6560
Team_8,2024-12-20 20:48:35,0.7711,0.5854,0.6099,0.6555
Team_6,2024-12-7 20:48:35,0.5252,0.6247,0.8116,0.6539
Team_30,2024-12-20 20:48:35,0.4633,0.7022,0.7667,0.6441
Team_49,2024-12-29 20:48:35,0.6557,0.7238,0.5433,0.6409
Team_27,2024-12-5 20:48:35,0.4976,0.6816,0.7389,0.6394
Team_39,2024-12-26 20:48:35,0.6035,0.4527,0.8593,0.6385
Team_9,2024-12-6 20:48:35,0.5816,0.7344,0.5757,0.6306
Team_29,2024-12-27 20:48:35,0.6636,0.4697,0.7488,0.6274
Team_19,2024-12-23 20:48:35,0.3911,0.5280,0.9490,0.6227
Team_1,2024-12-6 20:48:35,0.4912,0.7030,0.6587,0.6176
Team_14,2024-12-10 20:48:35,0.6416,0.5915,0.6143,0.6158
Team_46,2024-12-29 20:48:35,0.4467,0.5781,0.8200,0.6150
Team_3,2024-12-28 20:48:35,0.5334,0.7255,0.5741,0.6110
Team_10,2024-12-25 20:48:35,0.4927,0.7330,0.5984,0.6080
Team_42,2024-12-27 20:48:35,0.3826,0.6083,0.8131,0.6013
Team_31,2024-11-30 20:48:35,0.5852,0.6699,0.5364,0.5972
Team_11,2024-12-18 20:48:35,0.3080,0.6956,0.7511,0.5849
Team_32,2024-12-11 20:48:35,0.5604,0.5015,0.6663,0.5761
Team_44,2024-12-15 20:48:35,0.5117,0.5622,0.6467,0.5735
Team_23,2024-12-1 20:48:35,0.5839,0.6197,0.5149,0.5728
Team_20,2024-12-2 20:48:35,0.6777,0.4202,0.6201,0.5726
Team_41,2024-12-9 20:48:35,0.4481,0.5092,0.7287,0.5620
Team_12,2024-12-22 20:48:35,0.4154,0.5374,0.6817,0.5448
Team_40,2024-12-26 20:48:35,0.4380,0.6283,0.5678,0.5447
Team_13,2024-12-10 20:48:35,0.4205,0.6806,0.5292,0.5434
Team_48,2024-12-14 20:48:35,0.3994,0.5361,0.6569,0.5308
Team_18,2024-12-7 20:48:35,0.4955,0.5180,0.5666,0.5267
Team_45,2024-12-14 20:48:35,0.4974,0.4610,0.5991,0.5192
Team_22,2024-12-20 20:48:35,0.4040,0.4554,0.6850,0.5148
Team_24,2024-12-23 20:48:35,0.3157,0.5009,0.6553,0.4906
Team_7,2024-12-28 20:48:35,0.3066,0.4477,0.6212,0.4585
